Time(ms),PCElapsed(ms),ADC,Voltage(V)
1414807,1110.000,678,0.729
1414812,1110.000,678,0.729
1414817,1110.000,678,0.729
1414822,1125.000,678,0.729
1414827,1125.000,678,0.729
1414832,1156.000,678,0.729
1414837,1156.000,678,0.729
1414842,1156.000,678,0.729
1414847,1156.000,678,0.729
1414852,1156.000,678,0.729
1414857,1156.000,678,0.729
1414862,1156.000,679,0.730
1414867,1172.000,678,0.729
1414872,1172.000,678,0.729
1414877,1172.000,678,0.729
1414882,1172.000,678,0.729
1414887,1188.000,679,0.730
1414892,1188.000,678,0.729
1414897,1203.000,678,0.729
1414902,1203.000,678,0.729
1414907,1203.000,679,0.730
1414912,1203.000,678,0.729
1414917,1219.000,679,0.730
1414922,1219.000,679,0.730
1414927,1219.000,678,0.729
1414932,1235.000,679,0.730
1414937,1235.000,679,0.730
1414942,1235.000,679,0.730
1414947,1250.000,678,0.729
1414952,1250.000,679,0.730
1414957,1281.000,679,0.730
1414962,1281.000,679,0.730
1414967,1281.000,679,0.730
1414972,1281.000,679,0.730
1414977,1281.000,679,0.730
1414982,1281.000,679,0.730
1414987,1281.000,679,0.730
1414992,1297.000,679,0.730
1414998,1297.000,678,0.729
1415003,1313.000,678,0.729
1415008,1313.000,679,0.730
1415013,1313.000,678,0.729
1415018,1313.000,678,0.729
1415023,1313.000,679,0.730
1415028,1328.000,679,0.730
1415033,1328.000,679,0.730
1415038,1328.000,679,0.730
1415043,1344.000,679,0.730
1415048,1344.000,678,0.729
1415053,1344.000,679,0.730
1415058,1360.000,679,0.730
1415063,1360.000,679,0.730
1415068,1360.000,679,0.730
1415073,1375.000,679,0.730
1415078,1375.000,679,0.730
1415083,1375.000,679,0.730
1415088,1406.000,679,0.730
1415093,1422.000,679,0.730
1415098,1422.000,679,0.730
1415103,1422.000,679,0.730
1415108,1422.000,679,0.730
1415113,1422.000,680,0.731
1415118,1422.000,679,0.730
1415123,1422.000,679,0.730
1415128,1422.000,679,0.730
1415133,1438.000,679,0.730
1415138,1438.000,680,0.731
1415143,1438.000,679,0.730
1415148,1438.000,679,0.730
1415153,1453.000,680,0.731
1415158,1453.000,680,0.731
1415163,1453.000,680,0.731
1415168,1469.000,680,0.731
1415173,1469.000,680,0.731
1415178,1469.000,679,0.730
1415183,1485.000,680,0.731
1415188,1485.000,680,0.731
1415193,1485.000,680,0.731
1415198,1500.000,680,0.731
1415203,1547.000,680,0.731
1415208,1547.000,680,0.731
1415213,1547.000,680,0.731
1415218,1547.000,680,0.731
1415223,1547.000,680,0.731
1415228,1547.000,680,0.731
1415233,1547.000,680,0.731
1415238,1547.000,680,0.731
1415243,1547.000,679,0.730
1415248,1547.000,680,0.731
1415254,1547.000,680,0.731
1415259,1563.000,680,0.731
1415264,1563.000,680,0.731
1415269,1563.000,680,0.731
1415274,1578.000,680,0.731
1415279,1578.000,680,0.731
1415284,1578.000,679,0.730
1415289,1594.000,680,0.731
1415294,1594.000,680,0.731
1415299,1594.000,680,0.731
1415304,1594.000,679,0.730
1415309,1610.000,680,0.731
1415314,1610.000,679,0.730
1415319,1610.000,680,0.731
1415324,1625.000,680,0.731
1415329,1625.000,680,0.731
1415334,1672.000,680,0.731
1415339,1672.000,680,0.731
1415344,1672.000,680,0.731
1415349,1672.000,680,0.731
1415354,1672.000,680,0.731
1415359,1672.000,680,0.731
1415364,1672.000,680,0.731
1415369,1672.000,680,0.731
1415374,1672.000,680,0.731
1415379,1672.000,680,0.731
1415384,1688.000,680,0.731
1415389,1688.000,680,0.731
1415394,1688.000,680,0.731
1415399,1703.000,680,0.731
1415404,1703.000,680,0.731
1415409,1703.000,680,0.731
1415414,1719.000,680,0.731
1415419,1719.000,680,0.731
1415424,1719.000,680,0.731
1415429,1719.000,680,0.731
1415434,1735.000,680,0.731
1415439,1735.000,680,0.731
1415444,1735.000,680,0.731
1415449,1750.000,680,0.731
1415454,1750.000,681,0.732
1415459,1750.000,680,0.731
1415464,1781.000,680,0.731
1415469,1781.000,680,0.731
1415474,1797.000,680,0.731
1415479,1797.000,680,0.731
1415484,1797.000,680,0.731
1415489,1797.000,680,0.731
1415494,1797.000,681,0.732
1415499,1797.000,680,0.731
1415504,1797.000,680,0.731
1415510,1813.000,680,0.731
1415515,1813.000,680,0.731
1415520,1813.000,680,0.731
1415525,1828.000,680,0.731
1415530,1828.000,680,0.731
1415535,1828.000,680,0.731
1415540,1844.000,680,0.731
1415545,1844.000,680,0.731
1415550,1844.000,680,0.731
1415555,1860.000,680,0.731
1415560,1860.000,680,0.731
1415565,1860.000,680,0.731
1415570,1860.000,680,0.731
1415575,1906.000,681,0.732
1415580,1906.000,681,0.732
1415585,1906.000,681,0.732
1415590,1906.000,681,0.732
1415595,1906.000,680,0.731
1415600,1906.000,680,0.731
1415605,1906.000,681,0.732
1415610,1922.000,681,0.732
1415615,1922.000,681,0.732
1415620,1922.000,681,0.732
1415625,1922.000,681,0.732
1415630,1922.000,681,0.732
1415635,1938.000,680,0.731
1415640,1938.000,680,0.731
1415645,1938.000,680,0.731
1415650,1953.000,680,0.731
1415655,1953.000,680,0.731
1415660,1953.000,681,0.732
1415665,1969.000,680,0.731
1415670,1969.000,680,0.731
1415675,1969.000,680,0.731
1415680,1985.000,680,0.731
1415685,1985.000,681,0.732
1415690,1985.000,681,0.732
1415695,1985.000,681,0.732
1415700,2000.000,681,0.732
1415705,2000.000,681,0.732
1415710,2016.000,681,0.732
1415715,2047.000,681,0.732
