Frequency(Hz),Amplitude(V)
0.001666531,0.00172060055063
0.003333061,0.00116913792515
0.004999592,0.000717400751359
0.006666122,0.00246254586985
0.008332653,0.00498952833833
0.009999183,0.00391261076357
0.011665714,0.00153019403492
0.013332244,0.00135586723059
0.014998775,0.00207285893484
0.016665305,0.00148365995539
0.018331836,0.00136022022427
0.019998366,0.00131162097118
0.021664897,0.00184138975973
0.023331427,0.00193734594774
0.024997958,0.00144615095414
0.026664488,0.00212186693706
0.028331019,0.00273351218929
0.029997549,0.00212755897917
0.031664080,0.001523006268
0.033330610,0.00178446928087
0.034997141,0.00128128785694
0.036663671,0.000529492673988
0.038330202,0.00158904032307
0.039996732,0.00184344740611
0.041663263,0.000848275542689
0.043329793,0.000790768427524
0.044996324,0.00137434075178
0.046662854,0.00147505075921
0.048329385,0.000999179632819
0.049995915,0.000881924157586
0.051662446,0.00177652400976
0.053328976,0.00174274283191
0.054995507,0.00290729039004
0.056662037,0.00236682511209
0.058328568,0.000348007444136
0.059995098,0.00311890120721
0.061661629,0.00364722545078
0.063328159,0.00201562425408
0.064994690,0.00183521488152
0.066661220,0.00145535410132
0.068327751,0.00408107089182
0.069994282,0.00181712369923
0.071660812,0.00173741418102
0.073327343,0.00202575349819
0.074993873,0.00411643643154
0.076660404,0.00449087342634
0.078326934,0.0037931254633
0.079993465,0.00284354128521
0.081659995,0.00309279492232
0.083326526,0.00194891290495
0.084993056,0.00363856359787
0.086659587,0.00387289350433
0.088326117,0.00106768952493
0.089992648,0.00183403159813
0.091659178,0.00140885829527
0.093325709,0.00162253565338
0.094992239,0.000446394201326
0.096658770,0.000916981986351
0.098325300,0.00118940442515
0.099991831,0.000529167062027
0.101658361,0.000860302331219
0.103324892,0.00153912439655
0.104991422,0.00294610181417
0.106657953,0.003541083926
0.108324483,0.00414962070118
0.109991014,0.00323140311471
0.111657544,0.00134811857456
0.113324075,0.00162429215754
0.114990605,0.00206621393668
0.116657136,0.00348805675018
0.118323666,0.00431747579098
0.119990197,0.00227843996617
0.121656727,0.00142487898184
0.123323258,0.00228392721823
0.124989788,0.00280288931034
0.126656319,0.00333858178126
0.128322849,0.00206840394476
0.129989380,0.00101860738788
0.131655910,0.000659108403654
0.133322441,0.00084037441193
0.134988971,0.00107475237812
0.136655502,0.00233774041656
0.138322033,0.00119470105872
0.139988563,0.00194608717826
0.141655094,0.00137725117698
0.143321624,0.00150741395135
0.144988155,0.00100641979462
0.146654685,0.000488938409583
0.148321216,0.00148217893578
0.149987746,0.00116882076162
0.151654277,0.000273947453385
0.153320807,0.00203756272377
0.154987338,0.0036011626064
0.156653868,0.00245516226628
0.158320399,0.00134629663656
0.159986929,0.000969131778604
0.161653460,0.00120645552399
0.163319990,9.01811112514e-05
0.164986521,0.00046510880682
0.166653051,0.00114578249557
0.168319582,0.00185183900254
0.169986112,0.00206810415899
0.171652643,0.00162095906677
0.173319173,0.000284055314568
0.174985704,0.00107146094643
0.176652234,0.0020858643151
0.178318765,0.0031188281782
0.179985295,0.00156465738441
0.181651826,0.000862048254371
0.183318356,0.00136725432657
0.184984887,0.000818255186297
0.186651417,0.00130468000952
0.188317948,0.00157747651469
0.189984478,0.00176547971823
0.191651009,0.00127829986969
0.193317539,0.00159281683395
0.194984070,0.00199257518386
0.196650600,0.00166716026656
0.198317131,0.00106177026284
0.199983661,0.00111992562949
0.201650192,0.00119937917492
0.203316722,0.00132720683364
0.204983253,0.00103155337222
0.206649784,0.00102232937501
0.208316314,0.00112585137466
0.209982845,0.00110732432142
0.211649375,0.00163645727548
0.213315906,0.00119190562861
0.214982436,0.00101569902224
0.216648967,0.000298989297899
0.218315497,0.00125341234807
0.219982028,0.00137096931317
0.221648558,0.000508716843899
0.223315089,0.000914564471193
0.224981619,0.00170395417459
0.226648150,0.00090550348606
0.228314680,0.000930490386021
0.229981211,0.00186515070345
0.231647741,0.00106085816788
0.233314272,4.03683428512e-05
0.234980802,0.000385605232816
0.236647333,0.000298813168502
0.238313863,0.000527847961996
0.239980394,0.000444384871691
0.241646924,0.000331507534945
0.243313455,0.000783788469633
0.244979985,0.00100857539904
0.246646516,0.00168273834313
0.248313046,0.00102080920671
0.249979577,0.00011329708614
0.251646107,0.000594291244482
0.253312638,0.00125604555088
0.254979168,0.00136214260018
