Time(ms),PCElapsed(ms),ADC,Voltage(V),SmoothedVoltage(V)
424283,875.000,634,0.682,0.682182
424288,891.000,634,0.682,0.682273
424293,891.000,634,0.682,0.682364
424298,891.000,635,0.683,0.682455
424303,907.000,635,0.683,0.682455
424308,907.000,634,0.682,0.682455
424313,907.000,635,0.683,0.682455
424318,922.000,635,0.683,0.682545
424323,922.000,635,0.683,0.682545
424328,922.000,634,0.682,0.682455
424333,938.000,634,0.682,0.682364
424338,938.000,634,0.682,0.682455
424343,938.000,635,0.683,0.682364
424348,954.000,634,0.682,0.682273
424353,954.000,634,0.682,0.682182
424358,954.000,634,0.682,0.682273
424363,969.000,635,0.683,0.682364
424368,969.000,634,0.682,0.682455
424373,969.000,634,0.682,0.682455
424378,985.000,634,0.682,0.682545
424383,985.000,635,0.683,0.682636
424388,985.000,635,0.683,0.682727
424393,1000.000,635,0.683,0.682727
