Frequency(Hz),Amplitude(V)
0.000833332,0.000669797631966
0.001666664,0.000351597929182
0.002499995,1.49011739321e-05
0.003333327,5.1565751512e-05
0.004166659,0.00024635011845
0.004999991,0.000166995423863
0.005833323,0.000253209333307
0.006666655,0.000426258133025
0.007499986,0.000756953892233
0.008333318,0.000384358779831
0.009166650,0.00011867923591
0.009999982,0.000464593538968
0.010833314,0.000615433914317
0.011666645,0.000155026127879
0.012499977,0.000339924915976
0.013333309,0.000519872496021
0.014166641,0.000750807385302
0.014999973,0.000627384468625
0.015833305,0.000443024015922
0.016666636,0.000228211113708
0.017499968,0.000217212002549
0.018333300,0.000268762998953
0.019166632,0.00031551958516
0.019999964,0.000259368461244
0.020833295,0.000314173717719
0.021666627,0.000482725585675
0.022499959,0.000144359650435
0.023333291,9.59144668431e-05
0.024166623,0.000170869853105
0.024999954,9.52742975588e-05
0.025833286,0.000182062625815
0.026666618,0.00031972372247
0.027499950,0.000437320338289
0.028333282,0.000236331786804
0.029166614,0.000372238008476
0.029999945,0.000422032789261
0.030833277,0.0003003253398
0.031666609,0.000254916194327
0.032499941,0.000274578417678
0.033333273,0.000244160093799
0.034166604,0.000250344796279
0.034999936,0.000356096221046
0.035833268,5.56116883104e-05
0.036666600,0.000170319777285
0.037499932,0.000162256270974
0.038333264,0.000343776694965
0.039166595,0.000473938254802
0.039999927,0.000354591261948
0.040833259,0.000327536904929
0.041666591,8.88114378541e-05
0.042499923,0.000356351815194
0.043333254,0.000137920437747
0.044166586,0.0001217719634
0.044999918,0.000185977372952
0.045833250,0.000157310428215
0.046666582,0.000261414664667
0.047499914,0.000389578977812
0.048333245,0.000138624251944
0.049166577,0.000493799029461
0.049999909,0.000402609932886
0.050833241,0.000323568793005
0.051666573,0.000127958091517
0.052499904,0.000327087143288
0.053333236,0.000135615634331
0.054166568,0.000200043078541
0.054999900,0.000527048980055
0.055833232,0.000556284368265
0.056666564,0.000435280697654
0.057499895,0.00055435459183
0.058333227,0.000955592160911
0.059166559,0.000860198505072
0.059999891,0.000437334094973
0.060833223,0.000408469474421
0.061666554,0.000212199221436
0.062499886,0.000382188678182
0.063333218,0.000549444589831
0.064166550,0.000524327516764
0.064999882,0.000677965279358
0.065833214,0.000547351864264
0.066666545,0.000157119135678
0.067499877,0.000702615238524
0.068333209,0.000232614269266
0.069166541,0.00051418015261
0.069999873,0.00050554120772
0.070833204,0.000531401324742
0.071666536,0.00056672850008
0.072499868,0.000159976745253
0.073333200,0.00025243056137
0.074166532,0.000188344716919
0.074999863,0.000329160836971
0.075833195,0.000575483322166
0.076666527,0.000271579703675
0.077499859,0.000915400739042
0.078333191,0.00103102725092
0.079166523,0.000838570061331
0.079999854,0.000725142807385
0.080833186,0.000739923390206
0.081666518,0.000586584574346
0.082499850,0.000600055134886
0.083333182,0.000886347179407
0.084166513,0.000510237533196
0.084999845,0.000422226298226
0.085833177,0.000349748312792
0.086666509,0.000498781659053
0.087499841,0.000205187404005
0.088333173,0.000612310574541
0.089166504,0.000906334012847
0.089999836,0.000269892649923
0.090833168,0.000889823024064
0.091666500,0.000387511219995
0.092499832,0.000312597773852
0.093333163,0.00031662517891
0.094166495,0.000359602142414
0.094999827,0.000686574026821
0.095833159,0.000517226507078
0.096666491,0.000311015373278
0.097499823,0.000237748785119
0.098333154,0.000116596663081
0.099166486,0.000567379200715
0.099999818,0.000793016925198
0.100833150,0.000507538672083
0.101666482,0.00119007699803
0.102499813,0.00131353414125
0.103333145,0.00089892551717
0.104166477,0.000739333356745
0.104999809,0.00174822554784
0.105833141,0.00209121204985
0.106666473,0.00205270059343
0.107499804,0.00221310147651
0.108333136,0.00146040727639
0.109166468,0.000408462915435
0.109999800,0.00124804566737
0.110833132,0.000603251268028
0.111666463,0.000798292068511
0.112499795,0.00149151177144
0.113333127,0.00202840337495
0.114166459,0.000790527063571
0.114999791,0.00104745545751
0.115833123,0.00135073854707
0.116666454,0.00285239238094
0.117499786,0.00293609978425
0.118333118,0.00241886245551
0.119166450,0.00132603041253
0.119999782,0.000501760147914
0.120833113,0.000802828225045
0.121666445,0.00162461914437
0.122499777,0.000205504115837
0.123333109,0.00102131020059
0.124166441,0.000487571229059
0.124999772,0.00148261427624
0.125833104,0.00111504042349
0.126666436,0.00189237323028
0.127499768,0.00292229702758
0.128333100,0.00153922452512
0.129166432,0.000853903398009
0.129999763,0.00170631789799
0.130833095,0.00196608416123
0.131666427,0.00149318928768
0.132499759,0.00248402373707
0.133333091,0.0014038122418
0.134166422,0.00254953385317
0.134999754,0.00263698949973
0.135833086,0.00236302159519
0.136666418,0.00189909240832
0.137499750,0.00195766960903
0.138333082,0.00105759403996
0.139166413,0.000681134582903
0.139999745,0.00134608263054
0.140833077,0.00134028249349
0.141666409,0.000315198879013
0.142499741,0.00213717548025
0.143333072,0.00143982557532
0.144166404,0.00104435119378
0.144999736,0.000805828903629
0.145833068,0.00128486388979
0.146666400,0.00088969968107
0.147499732,0.00165979007316
0.148333063,0.00108860523118
0.149166395,0.000759699415594
0.149999727,0.00112882908783
0.150833059,0.00135070676886
0.151666391,0.00116941376973
0.152499722,0.00140548472628
0.153333054,0.00132467442476
0.154166386,0.000955964661213
0.154999718,0.00149351134521
0.155833050,0.00151858771165
0.156666382,0.000352377172881
0.157499713,0.000836050625039
0.158333045,0.000914974691064
0.159166377,0.000873001693133
0.159999709,0.00102936866957
0.160833041,0.000846337172867
0.161666372,0.000784443974543
0.162499704,0.000937168746102
0.163333036,0.00129422099308
0.164166368,0.00113438808344
0.164999700,0.000411035767256
0.165833032,5.59646148696e-05
0.166666363,0.000757828982324
0.167499695,0.000942904691005
0.168333027,0.000462458434087
0.169166359,0.000857066728008
0.169999691,0.000647619739414
0.170833022,4.02569143459e-05
0.171666354,9.55634669612e-05
0.172499686,0.000318987990991
0.173333018,0.00041736962097
0.174166350,0.000805221460466
0.174999681,0.000791229446097
0.175833013,0.000914835854256
0.176666345,0.000454985868484
0.177499677,0.00108164767493
0.178333009,0.00063278960085
0.179166341,0.000922381337958
0.179999672,0.000544664621834
0.180833004,0.00055901709108
0.181666336,0.0010712917462
0.182499668,0.00073827179834
0.183333000,0.000805593040704
0.184166331,0.00104519719698
0.184999663,0.0006877172291
0.185832995,0.000509334225261
0.186666327,0.000269676049594
0.187499659,0.00051800331674
0.188332991,0.000752052058602
0.189166322,0.000437790364966
0.189999654,0.000319478804194
0.190832986,0.000680695220248
0.191666318,0.000961587007765
0.192499650,0.00075983873402
0.193332981,0.000732098048838
0.194166313,0.000838392361538
0.194999645,0.000702039209177
0.195832977,0.000424013342582
