Frequency(Hz),Amplitude(V)
0.000833322,0.000190266803028
0.001666643,0.000715175926913
0.002499965,3.72776197059e-05
0.003333287,0.000230548406658
0.004166609,0.000488290516922
0.004999930,0.000475106830991
0.005833252,0.000225364665861
0.006666574,0.00073659353584
0.007499895,0.00136916030516
0.008333217,0.00124578675414
0.009166539,0.000880230322632
0.009999861,0.0010051924984
0.010833182,0.000785529252677
0.011666504,0.000703645426233
0.012499826,0.000438293164231
0.013333147,0.000833471033521
0.014166469,0.000745619035834
0.014999791,0.00022421671853
0.015833113,0.000371228581282
0.016666434,0.000428812481072
0.017499756,0.000447133850306
0.018333078,0.000132815768461
0.019166399,0.000305410782143
0.019999721,0.000468539411532
0.020833043,0.000519226358837
0.021666365,0.000314362637087
0.022499686,0.000784922085375
0.023333008,0.000669306699898
0.024166330,0.000617095343707
0.024999651,0.000852846520085
0.025832973,0.0007678933935
0.026666295,0.0008111210384
0.027499617,0.000624859717266
0.028332938,0.000201715571736
0.029166260,0.000360532478308
0.029999582,0.000541614913268
0.030832903,0.000215231528264
0.031666225,0.000690810140491
0.032499547,0.000700949421695
0.033332869,0.000843812699712
0.034166190,0.000352260297314
0.034999512,0.000475643194722
0.035832834,0.000430425678496
0.036666155,0.000639178458206
0.037499477,0.000485604186201
0.038332799,0.000284387851215
0.039166121,0.000546419873432
0.039999442,0.000516152737766
0.040832764,0.000743408882769
0.041666086,0.000624382513631
0.042499408,5.26092657414e-05
0.043332729,0.000271085513473
0.044166051,0.000387155949834
0.044999373,0.000846016580123
0.045832694,0.000945521139194
0.046666016,0.000714106256113
0.047499338,0.000713112178246
0.048332660,0.000505990178885
0.049165981,0.000191072726724
0.049999303,0.000223620139658
0.050832625,0.000395000135918
0.051665946,0.00057358814016
0.052499268,0.000342617347998
0.053332590,0.000217612567686
0.054165912,0.000511626869896
0.054999233,0.000433366010026
0.055832555,0.000806034418185
0.056665877,0.000431804295415
0.057499198,0.000349925103194
0.058332520,0.000321330280334
0.059165842,0.000426029082753
0.059999164,0.00049172589248
0.060832485,0.000504315691094
0.061665807,0.000240742015216
0.062499129,0.000548106906928
0.063332450,0.000499534558722
0.064165772,0.000522937718014
0.064999094,0.000629630928209
0.065832416,0.000496630553396
0.066665737,0.000655013952106
0.067499059,0.000591891697518
0.068332381,0.000657764692982
0.069165702,0.00150323737423
0.069999024,0.00211849473817
