Time(ms),PCElapsed(ms),ADC,Voltage(V)
7787490,1110.000,642,0.690
7787495,1141.000,642,0.690
7787500,1141.000,642,0.690
7787505,1141.000,643,0.691
7787510,1141.000,643,0.691
7787515,1141.000,643,0.691
7787520,1141.000,643,0.691
7787525,1141.000,643,0.691
7787530,1141.000,642,0.690
7787535,1141.000,643,0.691
7787540,1157.000,643,0.691
7787545,1157.000,643,0.691
7787550,1172.000,643,0.691
7787555,1172.000,643,0.691
7787560,1172.000,643,0.691
7787565,1172.000,643,0.691
7787570,1188.000,643,0.691
7787575,1188.000,643,0.691
7787580,1188.000,642,0.690
7787585,1203.000,643,0.691
7787590,1203.000,644,0.692
7787595,1203.000,644,0.692
7787600,1219.000,644,0.692
7787606,1219.000,645,0.694
7787611,1219.000,645,0.694
7787616,1235.000,646,0.695
7787621,1235.000,645,0.694
7787626,1266.000,645,0.694
7787631,1266.000,645,0.694
7787636,1266.000,645,0.694
7787641,1266.000,645,0.694
7787646,1266.000,645,0.694
7787651,1266.000,645,0.694
7787656,1266.000,645,0.694
7787661,1282.000,645,0.694
7787666,1282.000,645,0.694
7787671,1282.000,645,0.694
7787676,1297.000,645,0.694
7787681,1297.000,645,0.694
7787686,1297.000,645,0.694
7787691,1313.000,645,0.694
7787696,1313.000,645,0.694
7787701,1313.000,645,0.694
7787706,1313.000,645,0.694
7787711,1328.000,647,0.696
7787716,1328.000,647,0.696
7787721,1328.000,647,0.696
7787726,1344.000,646,0.695
7787731,1344.000,646,0.695
7787736,1344.000,647,0.696
7787741,1360.000,647,0.696
7787746,1360.000,647,0.696
7787751,1360.000,647,0.696
7787756,1375.000,647,0.696
7787761,1407.000,647,0.696
7787766,1407.000,647,0.696
7787771,1407.000,646,0.695
7787776,1407.000,647,0.696
7787781,1407.000,646,0.695
7787786,1407.000,646,0.695
7787791,1407.000,647,0.696
7787796,1407.000,646,0.695
7787801,1422.000,647,0.696
7787806,1422.000,647,0.696
7787811,1422.000,648,0.697
7787816,1438.000,648,0.697
7787821,1438.000,648,0.697
7787826,1438.000,648,0.697
7787831,1453.000,648,0.697
7787836,1453.000,648,0.697
7787841,1453.000,648,0.697
7787846,1469.000,648,0.697
7787851,1469.000,648,0.697
7787856,1469.000,648,0.697
7787862,1485.000,648,0.697
7787867,1485.000,648,0.697
7787872,1485.000,648,0.697
7787877,1485.000,648,0.697
7787882,1500.000,647,0.696
7787887,1500.000,648,0.697
7787892,1500.000,648,0.697
7787897,1547.000,648,0.697
7787902,1547.000,648,0.697
7787907,1547.000,648,0.697
7787912,1547.000,648,0.697
7787917,1547.000,649,0.698
7787922,1547.000,649,0.698
7787927,1547.000,649,0.698
7787932,1547.000,649,0.698
7787937,1547.000,649,0.698
7787942,1563.000,649,0.698
7787947,1563.000,649,0.698
7787952,1563.000,649,0.698
7787957,1578.000,649,0.698
7787962,1578.000,649,0.698
7787967,1578.000,649,0.698
7787972,1594.000,649,0.698
7787977,1594.000,649,0.698
7787982,1594.000,649,0.698
7787987,1610.000,649,0.698
7787992,1610.000,649,0.698
7787997,1610.000,649,0.698
7788002,1610.000,649,0.698
7788007,1625.000,649,0.698
7788012,1625.000,649,0.698
7788017,1641.000,651,0.700
7788022,1641.000,650,0.699
7788027,1672.000,650,0.699
7788032,1672.000,651,0.700
7788037,1672.000,650,0.699
7788042,1672.000,650,0.699
7788047,1672.000,650,0.699
7788052,1672.000,650,0.699
7788057,1672.000,651,0.700
7788062,1672.000,650,0.699
7788067,1688.000,650,0.699
7788072,1688.000,650,0.699
7788077,1688.000,650,0.699
7788082,1703.000,650,0.699
7788087,1703.000,650,0.699
7788092,1703.000,650,0.699
7788097,1719.000,650,0.699
7788102,1719.000,650,0.699
7788107,1719.000,650,0.699
7788112,1735.000,650,0.699
7788118,1735.000,652,0.701
7788123,1735.000,652,0.701
7788128,1750.000,652,0.701
7788133,1750.000,652,0.701
7788138,1750.000,652,0.701
7788143,1766.000,652,0.701
7788148,1766.000,652,0.701
7788153,1766.000,652,0.701
7788158,1782.000,652,0.701
7788163,1813.000,652,0.701
7788168,1813.000,652,0.701
7788173,1813.000,652,0.701
7788178,1813.000,652,0.701
7788183,1813.000,652,0.701
7788188,1813.000,652,0.701
7788193,1813.000,652,0.701
7788198,1813.000,652,0.701
7788203,1813.000,651,0.700
7788208,1828.000,652,0.701
7788213,1828.000,652,0.701
7788218,1828.000,653,0.702
7788223,1844.000,653,0.702
7788228,1844.000,653,0.702
7788233,1844.000,653,0.702
7788238,1860.000,653,0.702
7788243,1860.000,654,0.703
7788248,1860.000,652,0.701
7788253,1875.000,653,0.702
7788258,1875.000,653,0.702
7788263,1875.000,653,0.702
7788268,1891.000,653,0.702
7788273,1891.000,653,0.702
7788278,1891.000,653,0.702
7788283,1907.000,653,0.702
7788288,1907.000,653,0.702
7788293,1907.000,653,0.702
7788298,1922.000,653,0.702
7788303,1953.000,653,0.702
7788308,1953.000,653,0.702
7788313,1953.000,653,0.702
7788318,1953.000,654,0.703
7788323,1953.000,655,0.704
7788328,1953.000,654,0.703
7788333,1953.000,654,0.703
7788338,1953.000,654,0.703
7788343,1953.000,654,0.703
7788348,1969.000,654,0.703
7788353,1969.000,654,0.703
7788358,1969.000,654,0.703
7788363,1985.000,654,0.703
7788368,1985.000,654,0.703
7788374,1985.000,654,0.703
7788379,2000.000,654,0.703
7788384,2000.000,654,0.703
7788389,2000.000,654,0.703
7788394,2016.000,655,0.704
7788399,2016.000,654,0.703
7788404,2016.000,654,0.703
7788409,2032.000,654,0.703
7788414,2032.000,654,0.703
7788419,2032.000,654,0.703
7788424,2047.000,656,0.705
7788429,2078.000,656,0.705
7788434,2078.000,656,0.705
7788439,2078.000,656,0.705
7788444,2078.000,655,0.704
7788449,2078.000,656,0.705
7788454,2078.000,656,0.705
7788459,2078.000,655,0.704
7788464,2078.000,656,0.705
7788469,2094.000,656,0.705
7788474,2094.000,656,0.705
7788479,2094.000,656,0.705
7788484,2110.000,656,0.705
7788489,2110.000,656,0.705
7788494,2110.000,656,0.705
7788499,2110.000,655,0.704
7788504,2125.000,656,0.705
7788509,2125.000,655,0.704
7788514,2125.000,656,0.705
7788519,2141.000,656,0.705
7788524,2141.000,657,0.706
7788529,2141.000,657,0.706
7788534,2157.000,657,0.706
7788539,2157.000,657,0.706
