Time(ms),PCElapsed(ms),ADC,Voltage(V)
5774577,1093.000,650,0.699
5774582,1109.000,650,0.699
5774587,1109.000,650,0.699
5774592,1109.000,650,0.699
5774597,1156.000,650,0.699
5774602,1156.000,650,0.699
5774607,1156.000,650,0.699
5774612,1156.000,650,0.699
5774617,1156.000,650,0.699
5774622,1156.000,651,0.700
5774627,1156.000,651,0.700
5774632,1156.000,651,0.700
5774637,1156.000,651,0.700
5774642,1172.000,651,0.700
5774647,1172.000,651,0.700
5774652,1172.000,651,0.700
5774657,1172.000,651,0.700
5774662,1187.000,651,0.700
5774667,1187.000,651,0.700
5774672,1203.000,651,0.700
5774678,1203.000,651,0.700
5774683,1203.000,651,0.700
5774688,1203.000,651,0.700
5774693,1218.000,651,0.700
5774698,1218.000,651,0.700
5774703,1218.000,651,0.700
5774708,1234.000,651,0.700
5774713,1234.000,651,0.700
5774718,1234.000,651,0.700
5774723,1250.000,651,0.700
5774728,1250.000,652,0.701
5774733,1250.000,651,0.700
5774738,1297.000,652,0.701
5774743,1297.000,652,0.701
5774748,1297.000,651,0.700
5774753,1297.000,652,0.701
5774758,1297.000,652,0.701
5774763,1297.000,651,0.700
5774768,1297.000,651,0.700
5774773,1297.000,652,0.701
5774778,1297.000,652,0.701
5774783,1312.000,651,0.700
5774788,1312.000,651,0.700
5774793,1312.000,652,0.701
5774798,1328.000,651,0.700
5774803,1328.000,651,0.700
5774808,1328.000,651,0.700
5774813,1343.000,652,0.701
5774818,1343.000,651,0.700
5774823,1343.000,652,0.701
5774828,1343.000,652,0.701
5774833,1359.000,652,0.701
5774838,1359.000,652,0.701
5774843,1359.000,652,0.701
5774848,1375.000,652,0.701
5774853,1375.000,652,0.701
5774858,1375.000,652,0.701
5774863,1390.000,652,0.701
5774868,1390.000,652,0.701
5774873,1390.000,652,0.701
5774878,1437.000,652,0.701
5774883,1437.000,652,0.701
5774888,1437.000,652,0.701
5774893,1437.000,652,0.701
5774898,1437.000,652,0.701
5774903,1437.000,651,0.700
5774908,1437.000,652,0.701
5774913,1437.000,652,0.701
5774918,1437.000,652,0.701
5774923,1453.000,652,0.701
5774928,1453.000,653,0.702
5774934,1453.000,652,0.701
5774939,1468.000,652,0.701
5774944,1468.000,653,0.702
5774949,1468.000,652,0.701
5774954,1484.000,653,0.702
5774959,1484.000,652,0.701
5774964,1484.000,652,0.701
5774969,1500.000,652,0.701
5774974,1500.000,652,0.701
5774979,1500.000,652,0.701
5774984,1515.000,652,0.701
5774989,1515.000,652,0.701
5774994,1515.000,652,0.701
5774999,1531.000,652,0.701
5775004,1531.000,653,0.702
5775009,1531.000,653,0.702
5775014,1578.000,652,0.701
5775019,1578.000,652,0.701
5775024,1578.000,652,0.701
5775029,1578.000,653,0.702
5775034,1578.000,653,0.702
5775039,1578.000,653,0.702
5775044,1578.000,653,0.702
5775049,1578.000,653,0.702
5775054,1578.000,653,0.702
5775059,1578.000,653,0.702
5775064,1593.000,653,0.702
5775069,1593.000,654,0.703
5775074,1593.000,653,0.702
5775079,1609.000,653,0.702
5775084,1609.000,654,0.703
5775089,1609.000,653,0.702
5775094,1625.000,653,0.702
5775099,1625.000,653,0.702
5775104,1625.000,653,0.702
5775109,1640.000,653,0.702
5775114,1640.000,653,0.702
5775119,1640.000,653,0.702
5775124,1656.000,653,0.702
5775129,1656.000,653,0.702
5775134,1656.000,654,0.703
5775139,1672.000,654,0.703
5775144,1672.000,654,0.703
5775149,1703.000,654,0.703
5775154,1703.000,653,0.702
5775159,1703.000,654,0.703
5775164,1703.000,654,0.703
5775169,1703.000,654,0.703
5775174,1703.000,654,0.703
5775179,1703.000,653,0.702
5775184,1703.000,654,0.703
5775190,1718.000,654,0.703
5775195,1718.000,654,0.703
5775200,1718.000,654,0.703
5775205,1734.000,653,0.702
5775210,1734.000,654,0.703
5775215,1734.000,654,0.703
5775220,1750.000,654,0.703
5775225,1750.000,654,0.703
5775230,1750.000,654,0.703
5775235,1765.000,655,0.704
5775240,1765.000,654,0.703
5775245,1765.000,654,0.703
5775250,1781.000,654,0.703
5775255,1781.000,655,0.704
5775260,1781.000,654,0.703
5775265,1797.000,654,0.703
5775270,1797.000,654,0.703
5775275,1797.000,655,0.704
5775280,1828.000,654,0.703
5775285,1828.000,654,0.703
5775290,1828.000,654,0.703
5775295,1828.000,654,0.703
5775300,1828.000,654,0.703
5775305,1828.000,654,0.703
5775310,1828.000,654,0.703
5775315,1843.000,654,0.703
5775320,1843.000,654,0.703
5775325,1843.000,654,0.703
5775330,1859.000,654,0.703
5775335,1859.000,655,0.704
5775340,1859.000,656,0.705
5775345,1875.000,655,0.704
5775350,1875.000,655,0.704
5775355,1875.000,655,0.704
5775360,1890.000,655,0.704
5775365,1890.000,655,0.704
5775370,1890.000,655,0.704
5775375,1906.000,655,0.704
5775380,1906.000,655,0.704
5775385,1906.000,655,0.704
5775390,1922.000,655,0.704
5775395,1922.000,655,0.704
5775400,1922.000,655,0.704
5775405,1953.000,655,0.704
5775410,1968.000,655,0.704
5775415,1968.000,655,0.704
5775420,1968.000,655,0.704
5775425,1968.000,655,0.704
5775430,1968.000,655,0.704
5775435,1968.000,655,0.704
5775440,1968.000,656,0.705
5775446,1968.000,656,0.705
5775451,1984.000,656,0.705
5775456,1984.000,656,0.705
5775461,1984.000,656,0.705
5775466,2000.000,656,0.705
5775471,2000.000,656,0.705
5775476,2000.000,656,0.705
5775481,2015.000,656,0.705
5775486,2015.000,655,0.704
5775491,2015.000,656,0.705
5775496,2015.000,656,0.705
5775501,2031.000,656,0.705
5775506,2031.000,656,0.705
5775511,2031.000,656,0.705
5775516,2047.000,656,0.705
5775521,2047.000,656,0.705
5775526,2093.000,656,0.705
5775531,2093.000,656,0.705
5775536,2093.000,656,0.705
5775541,2093.000,657,0.706
5775546,2093.000,657,0.706
5775551,2093.000,657,0.706
5775556,2093.000,657,0.706
5775561,2093.000,657,0.706
5775566,2093.000,657,0.706
5775571,2093.000,656,0.705
5775576,2109.000,656,0.705
5775581,2109.000,656,0.705
5775586,2109.000,656,0.705
5775591,2125.000,657,0.706
5775596,2125.000,656,0.705
5775601,2125.000,656,0.705
5775606,2125.000,657,0.706
5775611,2140.000,656,0.705
5775616,2140.000,656,0.705
5775621,2140.000,657,0.706
5775626,2156.000,657,0.706
5775631,2156.000,656,0.705
5775636,2156.000,656,0.705
5775641,2172.000,657,0.706
5775646,2172.000,658,0.708
5775651,2172.000,657,0.706
5775656,2187.000,657,0.706
5775661,2187.000,657,0.706
5775666,2218.000,657,0.706
5775671,2218.000,657,0.706
5775676,2218.000,657,0.706
5775681,2218.000,657,0.706
5775686,2234.000,657,0.706
5775691,2234.000,657,0.706
5775696,2234.000,657,0.706
5775702,2234.000,657,0.706
5775707,2234.000,657,0.706
5775712,2234.000,657,0.706
5775717,2250.000,657,0.706
5775722,2250.000,657,0.706
5775727,2250.000,657,0.706
5775732,2265.000,657,0.706
5775737,2265.000,657,0.706
5775742,2265.000,657,0.706
5775747,2281.000,658,0.708
5775752,2281.000,658,0.708
5775757,2281.000,658,0.708
5775762,2281.000,657,0.706
5775767,2297.000,657,0.706
5775772,2297.000,658,0.708
5775777,2297.000,658,0.708
5775782,2312.000,658,0.708
5775787,2312.000,658,0.708
5775792,2343.000,658,0.708
5775797,2359.000,657,0.706
5775802,2359.000,658,0.708
5775807,2359.000,658,0.708
5775812,2359.000,657,0.706
5775817,2359.000,658,0.708
5775822,2359.000,658,0.708
5775827,2359.000,657,0.706
5775832,2359.000,658,0.708
5775837,2359.000,657,0.706
5775842,2375.000,658,0.708
5775847,2375.000,659,0.709
5775852,2375.000,659,0.709
5775857,2390.000,658,0.708
5775862,2390.000,658,0.708
5775867,2390.000,658,0.708
5775872,2406.000,659,0.709
5775877,2406.000,658,0.708
5775882,2406.000,658,0.708
5775887,2422.000,658,0.708
5775892,2422.000,659,0.709
5775897,2422.000,659,0.709
5775902,2437.000,659,0.709
5775907,2437.000,658,0.708
5775912,2437.000,659,0.709
5775917,2484.000,658,0.708
5775922,2484.000,658,0.708
5775927,2484.000,658,0.708
5775932,2484.000,658,0.708
5775937,2484.000,658,0.708
5775942,2484.000,659,0.709
5775947,2484.000,659,0.709
5775952,2484.000,660,0.710
5775958,2484.000,659,0.709
5775963,2484.000,659,0.709
5775968,2500.000,659,0.709
5775973,2500.000,659,0.709
5775978,2500.000,659,0.709
5775983,2515.000,660,0.710
5775988,2515.000,659,0.709
5775993,2515.000,659,0.709
5775998,2531.000,659,0.709
5776003,2531.000,659,0.709
5776008,2531.000,659,0.709
5776013,2547.000,659,0.709
5776018,2547.000,659,0.709
5776023,2547.000,659,0.709
5776028,2562.000,659,0.709
5776033,2562.000,659,0.709
5776038,2562.000,659,0.709
5776043,2578.000,659,0.709
5776048,2578.000,660,0.710
5776053,2609.000,660,0.710
5776058,2609.000,660,0.710
5776063,2609.000,660,0.710
