Time(ms),PCElapsed(ms),ADC,Voltage(V)
608096,1203.000,682,0.733
608101,1203.000,682,0.733
608106,1219.000,682,0.733
608111,1219.000,682,0.733
608116,1219.000,682,0.733
608121,1234.000,682,0.733
608126,1250.000,682,0.733
608131,1281.000,682,0.733
608136,1281.000,683,0.734
608141,1281.000,682,0.733
608146,1281.000,682,0.733
608151,1281.000,682,0.733
608156,1281.000,682,0.733
608161,1281.000,682,0.733
608166,1281.000,682,0.733
608171,1281.000,682,0.733
608176,1281.000,682,0.733
608181,1281.000,682,0.733
608186,1297.000,682,0.733
608191,1297.000,682,0.733
608196,1297.000,682,0.733
608201,1312.000,683,0.734
608206,1312.000,682,0.733
608211,1312.000,682,0.733
608216,1328.000,682,0.733
608221,1328.000,682,0.733
608226,1328.000,682,0.733
608231,1344.000,683,0.734
608236,1344.000,683,0.734
608241,1344.000,682,0.733
608246,1375.000,682,0.733
608251,1391.000,683,0.734
608256,1391.000,683,0.734
608261,1391.000,683,0.734
608266,1391.000,683,0.734
608271,1391.000,682,0.733
608276,1391.000,682,0.733
608281,1391.000,682,0.733
608286,1391.000,683,0.734
608291,1406.000,683,0.734
608296,1406.000,683,0.734
608301,1406.000,682,0.733
608306,1406.000,683,0.734
608311,1422.000,683,0.734
608316,1422.000,682,0.733
608321,1422.000,683,0.734
608326,1437.000,682,0.733
608331,1437.000,683,0.734
608336,1437.000,682,0.733
608342,1453.000,683,0.734
608347,1453.000,682,0.733
608352,1453.000,683,0.734
608357,1469.000,683,0.734
608362,1469.000,682,0.733
608367,1484.000,683,0.734
608372,1516.000,682,0.733
608377,1516.000,683,0.734
608382,1516.000,682,0.733
608387,1516.000,682,0.733
608392,1516.000,683,0.734
608397,1516.000,682,0.733
608402,1516.000,682,0.733
608407,1516.000,683,0.734
608412,1516.000,682,0.733
608417,1531.000,683,0.734
608422,1531.000,682,0.733
608427,1531.000,683,0.734
608432,1547.000,683,0.734
608437,1547.000,683,0.734
608442,1547.000,683,0.734
608447,1562.000,683,0.734
