Time(ms),PCElapsed(ms),ADC,Voltage(V)
274056,1203.000,805,0.866
274061,1203.000,804,0.865
274066,1203.000,805,0.866
274071,1219.000,805,0.866
274076,1219.000,805,0.866
274081,1219.000,805,0.866
274086,1235.000,806,0.867
274091,1235.000,805,0.866
274096,1235.000,806,0.867
274101,1250.000,805,0.866
274106,1250.000,805,0.866
274111,1250.000,805,0.866
274116,1266.000,805,0.866
274121,1266.000,805,0.866
274126,1266.000,805,0.866
274131,1281.000,805,0.866
274136,1281.000,805,0.866
274141,1281.000,805,0.866
274146,1297.000,805,0.866
274151,1297.000,805,0.866
274156,1297.000,805,0.866
274161,1313.000,806,0.867
274166,1313.000,806,0.867
274171,1313.000,806,0.867
274176,1313.000,806,0.867
274181,1328.000,806,0.867
274186,1328.000,807,0.868
274191,1344.000,808,0.869
274196,1344.000,808,0.869
274201,1344.000,808,0.869
274206,1344.000,808,0.869
274211,1360.000,808,0.869
274216,1360.000,808,0.869
274221,1360.000,808,0.869
274226,1375.000,808,0.869
274231,1375.000,808,0.869
274236,1375.000,808,0.869
274241,1391.000,808,0.869
274246,1391.000,808,0.869
274251,1391.000,808,0.869
274256,1406.000,808,0.869
274262,1406.000,808,0.869
274267,1406.000,808,0.869
274272,1422.000,808,0.869
274277,1422.000,807,0.868
274282,1422.000,808,0.869
274287,1438.000,808,0.869
274292,1438.000,809,0.870
274297,1438.000,808,0.869
274302,1453.000,808,0.869
274307,1453.000,808,0.869
274312,1453.000,808,0.869
274317,1469.000,808,0.869
274322,1469.000,808,0.869
274327,1469.000,808,0.869
274332,1485.000,808,0.869
274337,1485.000,808,0.869
274342,1485.000,808,0.869
274347,1485.000,808,0.869
274352,1500.000,808,0.869
274357,1500.000,808,0.869
274362,1516.000,808,0.869
274367,1516.000,808,0.869
274372,1516.000,808,0.869
274377,1516.000,808,0.869
274382,1531.000,808,0.869
274387,1531.000,808,0.869
274392,1531.000,808,0.869
274397,1547.000,808,0.869
274402,1547.000,809,0.870
274407,1547.000,809,0.870
274412,1563.000,808,0.869
274417,1563.000,809,0.870
274422,1563.000,809,0.870
274427,1578.000,808,0.869
274432,1578.000,808,0.869
274437,1578.000,809,0.870
274442,1594.000,809,0.870
274447,1594.000,808,0.869
274452,1594.000,809,0.870
274457,1610.000,808,0.869
274462,1610.000,808,0.869
274467,1610.000,809,0.870
274472,1625.000,809,0.870
274477,1625.000,808,0.869
274482,1625.000,809,0.870
274487,1641.000,809,0.870
274492,1641.000,809,0.870
274497,1641.000,810,0.871
274502,1641.000,809,0.870
274507,1656.000,809,0.870
274512,1656.000,809,0.870
274518,1656.000,809,0.870
274523,1672.000,809,0.870
274528,1672.000,809,0.870
274533,1672.000,809,0.870
274538,1688.000,809,0.870
274543,1688.000,809,0.870
274548,1688.000,809,0.870
274553,1703.000,809,0.870
274558,1703.000,809,0.870
274563,1703.000,809,0.870
274568,1719.000,809,0.870
274573,1719.000,809,0.870
274578,1719.000,809,0.870
274583,1735.000,809,0.870
274588,1735.000,809,0.870
274593,1735.000,809,0.870
274598,1750.000,810,0.871
274603,1750.000,810,0.871
274608,1766.000,810,0.871
274613,1766.000,810,0.871
274618,1766.000,810,0.871
274623,1766.000,809,0.870
274628,1781.000,810,0.871
274633,1781.000,809,0.870
274638,1781.000,809,0.870
274643,1797.000,810,0.871
274648,1797.000,809,0.870
274653,1797.000,810,0.871
274658,1813.000,810,0.871
274663,1813.000,809,0.870
274668,1813.000,809,0.870
274673,1813.000,810,0.871
274678,1828.000,810,0.871
274683,1828.000,809,0.870
274688,1828.000,810,0.871
274693,1844.000,810,0.871
274698,1844.000,810,0.871
