Frequency(Hz),Amplitude(V)
0.001673713,0.000323477181677
0.003347426,0.000229425859708
0.005021139,0.000110704205873
0.006694852,0.00015691250424
0.008368565,6.93915392653e-05
0.010042278,0.000130204437338
0.011715991,0.000404652418679
0.013389704,0.000251720181417
0.015063416,0.000243978004763
0.016737129,0.000255745655033
0.018410842,0.000310151981144
0.020084555,0.000343989635304
0.021758268,0.000102117124049
0.023431981,0.00024464799237
0.025105694,0.000221986855677
0.026779407,0.00022567364777
0.028453120,0.000163327271845
0.030126833,0.000101585411682
0.031800546,9.98759786546e-05
0.033474259,7.79923135208e-05
0.035147972,5.83235692936e-05
0.036821685,0.000131497597231
0.038495398,0.000206808551846
0.040169111,0.00036882785999
0.041842824,4.54845437997e-05
0.043516537,0.000315750839501
0.045190249,0.00037912648266
0.046863962,0.0003532879157
0.048537675,0.000134451646403
0.050211388,0.000408254659631
0.051885101,0.000329007545934
0.053558814,0.000235549522429
0.055232527,0.000247276920804
0.056906240,0.000275762562272
0.058579953,0.000261276899103
0.060253666,0.000129205357592
0.061927379,0.000368211318624
0.063601092,0.000391429370916
0.065274805,0.000431895528873
0.066948518,4.70824522567e-05
0.068622231,0.000254460522517
0.070295944,9.81310871565e-05
0.071969657,0.000101581626299
0.073643370,0.000541995922767
0.075317082,0.00062132193285
0.076990795,0.000173462523029
0.078664508,0.000380739915196
0.080338221,0.000131563890085
0.082011934,0.000417818633877
0.083685647,0.000385506296787
0.085359360,0.000155778193119
0.087033073,0.000323464560056
0.088706786,0.000414857177117
0.090380499,0.000265218743298
0.092054212,0.000120312953456
0.093727925,0.000378764754351
0.095401638,0.000400034430889
0.097075351,0.000524646776552
0.098749064,0.000792678283543
0.100422777,0.000406967409491
0.102096490,0.000158214694522
0.103770202,0.000358060831564
0.105443915,0.00080696863559
0.107117628,0.000651157428384
0.108791341,0.000311410566067
0.110465054,0.000477491149791
0.112138767,0.00046081929517
0.113812480,0.00025346172899
0.115486193,0.000104901051112
0.117159906,0.000657936025855
0.118833619,0.000940751099888
0.120507332,0.000577833694031
0.122181045,0.00071452024071
0.123854758,0.000765638967913
0.125528471,0.000649668943837
0.127202184,0.000297659870602
0.128875897,0.000661140931335
0.130549610,0.000647467119217
0.132223323,0.000135940481102
0.133897035,0.000360175105507
0.135570748,0.000879941464505
0.137244461,0.00130592218544
0.138918174,0.000806547358478
0.140591887,0.000580005116073
0.142265600,0.000415109746831
0.143939313,0.00109448830092
0.145613026,0.000961554581775
0.147286739,0.000841934416582
0.148960452,0.00106281275025
0.150634165,0.000575267665967
0.152307878,0.00084008243995
0.153981591,0.000743304120474
0.155655304,0.00167774306347
0.157329017,0.00300890635246
0.159002730,0.000615825203546
0.160676443,0.00223434080146
0.162350156,0.00140207674888
0.164023868,0.00203066692394
0.165697581,0.00536818617739
0.167371294,0.00762125148151
0.169045007,0.0049998654895
0.170718720,0.00929763014391
0.172392433,0.0266680503114
0.174066146,0.033846691378
0.175739859,0.0133307931009
0.177413572,0.0107275450382
0.179087285,0.00944374771625
0.180760998,0.00214732303611
0.182434711,0.00307970577256
0.184108424,0.00360423522947
0.185782137,0.00316322554775
0.187455850,0.00241489558465
0.189129563,0.00459490952588
0.190803276,0.0031005213866
0.192476988,0.00220592894353
0.194150701,0.000531516414919
0.195824414,0.00289129712707
0.197498127,0.00109930028537
0.199171840,0.00163968570095
0.200845553,0.00139086448841
0.202519266,0.00122351059051
0.204192979,0.000952581185844
0.205866692,0.0011704627319
0.207540405,0.00180440841247
0.209214118,0.00177798952765
0.210887831,0.00109249272425
0.212561544,0.000152824853508
0.214235257,0.00126694603631
0.215908970,0.00115803235322
0.217582683,0.000560923968431
0.219256396,0.000809582654678
0.220930109,0.000350036664489
0.222603821,0.000756913057522
0.224277534,0.000649021871413
0.225951247,0.000337190044557
0.227624960,0.000477383751681
0.229298673,0.000522598805938
0.230972386,0.000830775643453
0.232646099,0.00070556947507
0.234319812,0.00044470765903
0.235993525,0.000354567095549
0.237667238,0.000410082500721
0.239340951,0.000734102023512
0.241014664,0.000498858457564
0.242688377,0.00025102281144
0.244362090,0.000440709431365
0.246035803,0.000470204561444
0.247709516,0.000437081067011
0.249383229,0.000559202597532
0.251056942,0.00046293303589
0.252730654,0.000710874110019
0.254404367,0.00015716275876
0.256078080,0.000373771677641
0.257751793,0.000324454222495
0.259425506,0.000346628178184
0.261099219,0.000270274335278
0.262772932,0.000175075857492
0.264446645,0.000433838581198
0.266120358,0.000347398340467
0.267794071,0.000142889868239
0.269467784,0.000242728426062
0.271141497,0.000616958209427
0.272815210,0.000566078226239
0.274488923,0.00030654389509
0.276162636,0.000145144474659
0.277836349,0.000496495224699
0.279510062,0.000685390334627
0.281183775,0.000253363210592
0.282857487,0.0005027712259
0.284531200,0.000395739772347
0.286204913,0.000121791355827
0.287878626,7.79236322154e-05
0.289552339,0.000393429949223
0.291226052,0.00079431049913
0.292899765,0.000630017462823
0.294573478,0.000316192920558
0.296247191,0.000272888504491
0.297920904,0.00018730783974
0.299594617,0.000544462520442
0.301268330,0.000193166361682
0.302942043,0.00060575033061
0.304615756,0.000367225652187
0.306289469,0.000461656921969
0.307963182,0.000219252263366
0.309636895,0.00108629125204
0.311310607,0.00144861323797
0.312984320,0.000395427571026
0.314658033,0.000330502727778
0.316331746,0.000405333632376
0.318005459,0.00100152251585
0.319679172,0.000857470151655
0.321352885,0.000477123446223
0.323026598,0.000278309644846
0.324700311,0.000612214536994
0.326374024,0.000506180569201
0.328047737,0.000544200439189
0.329721450,0.00151126667695
0.331395163,0.00187444953217
0.333068876,0.0024581378604
0.334742589,0.00375259695568
0.336416302,0.00234206439123
0.338090015,0.00347452186602
0.339763728,0.00589371892161
0.341437440,0.00545439687363
0.343111153,0.00449023184917
0.344784866,0.00696849017677
0.346458579,0.0116973677303
0.348132292,0.0110035024454
0.349806005,0.00617745805789
0.351479718,0.00953238855835
0.353153431,0.0066581628801
0.354827144,0.000376831134309
0.356500857,0.000861671430402
0.358174570,0.00277905721075
0.359848283,0.00205541197101
0.361521996,0.00100172284447
0.363195709,0.00221872065199
0.364869422,0.00149094138646
0.366543135,0.00186562759668
0.368216848,0.00224338473034
0.369890561,0.00119962717901
0.371564273,0.00109811901552
0.373237986,0.000764068573561
0.374911699,0.00103187840113
0.376585412,0.000347194320654
0.378259125,0.00086842011014
0.379932838,0.00101702090676
0.381606551,0.000761445275902
0.383280264,0.000574625697053
0.384953977,0.00166247474302
0.386627690,0.00199884394291
0.388301403,0.000598612584173
0.389975116,0.000617207201384
0.391648829,0.000736920417343
0.393322542,0.00105431023886
0.394996255,0.000535146677397
0.396669968,0.00103396354709
0.398343681,0.000646431199432
0.400017393,0.00114137468032
0.401691106,0.000538646382348
0.403364819,0.000572601388274
0.405038532,0.00118350517819
0.406712245,0.0010753672181
0.408385958,0.000499427607552
0.410059671,0.000409100365065
0.411733384,0.000648566031294
0.413407097,0.000884551039949
0.415080810,0.000490005202181
0.416754523,9.59859792324e-06
0.418428236,0.000295322604087
0.420101949,0.00066605760778
0.421775662,0.000505619687931
0.423449375,0.000358310830559
0.425123088,0.000557942307935
0.426796801,0.00111406472495
0.428470514,0.000418203549846
0.430144226,0.000206630247874
0.431817939,0.000308363814533
0.433491652,0.000500349304974
0.435165365,0.00032357299304
0.436839078,0.000108248290724
0.438512791,0.00059738804862
0.440186504,0.000350250044945
0.441860217,0.000455003138621
0.443533930,0.000314043730843
0.445207643,0.000429083892669
0.446881356,0.000337823519308
0.448555069,0.000335101981612
0.450228782,0.000350912822224
0.451902495,0.000335214132449
0.453576208,0.00027172357046
0.455249921,0.000361453418395
0.456923634,0.000802387733685
0.458597347,0.000324693367471
0.460271059,0.000350702003515
0.461944772,0.000144701286362
0.463618485,0.000791937606897
0.465292198,0.00100493328581
0.466965911,0.000523932497441
0.468639624,0.000286353022104
0.470313337,0.000171769716081
0.471987050,0.000488123263512
0.473660763,0.00063993446191
0.475334476,0.000162134955302
0.477008189,0.000481582454282
0.478681902,0.000594412107601
0.480355615,0.000567090045104
0.482029328,0.000192902109566
0.483703041,0.00113979603294
0.485376754,0.00123643914068
0.487050467,0.000140334318986
0.488724179,0.000803069261717
0.490397892,0.000278153795067
0.492071605,0.000636799226059
0.493745318,0.000862490877849
0.495419031,0.00024096804676
0.497092744,0.000818566483598
0.498766457,0.000482083302207
0.500440170,0.000227869693049
0.502113883,0.000299549817954
0.503787596,0.00163651536369
0.505461309,0.00078193681502
0.507135022,0.00375742578873
0.508808735,0.0041734907905
0.510482448,0.0032860641073
0.512156161,0.00347765554882
0.513829874,0.00426267938051
0.515503587,0.00368225479268
0.517177300,0.00273174796175
0.518851012,0.00370105781809
0.520524725,0.00465797117707
0.522198438,0.00337843429299
0.523872151,0.00529961740852
0.525545864,0.00747799773663
0.527219577,0.00363841601936
0.528893290,0.00204643660646
0.530567003,0.0020755142603
0.532240716,0.00236772469914
0.533914429,0.00111189346208
0.535588142,0.00144192670741
0.537261855,0.00114650721248
0.538935568,0.000669733862551
0.540609281,0.00229044776492
0.542282994,0.0020673673644
0.543956707,0.000723409228784
0.545630420,0.000864002805167
0.547304133,5.34659679156e-05
0.548977845,0.00130637433705
0.550651558,0.000220128034723
0.552325271,0.000758193536821
0.553998984,0.000403781078412
0.555672697,0.000886738855808
0.557346410,0.00118274099364
0.559020123,0.00156507933832
0.560693836,0.00130237189213
0.562367549,0.0003569882634
0.564041262,0.000508938342541
0.565714975,0.000666336508093
0.567388688,0.000542876754936
0.569062401,0.000373133251646
0.570736114,0.00023577957044
0.572409827,0.000404220244051
0.574083540,0.000183241246567
0.575757253,0.00036043041943
